"nom","region","nom_personne","pk_lieu"
Ascoli Piceno,Veneto,"Garzoni, Giovanna",20
Bergamo,Lombardia,"Parasole, Isabella",22
Bologna,Emilia Romagna,"Fontana, Lavinia",11
Bologna,Emilia Romagna,"Cantofoli, Ginevra",11
Bologna,Emilia Romagna,"Coriolano , Teresa Maria",11
Bologna,Emilia Romagna,"Pinelli , Antonia",11
Bologna,Emilia Romagna,"Scarfaglia, Lucrezia",11
Bologna,Emilia Romagna,"Sirani, Elisabetta",11
Bologna,Emilia Romagna,"Fontana, Prospero",11
Cremona,Lombardia,"Anguissola, Anna Maria",1
Cremona,Lombardia,"Anguissola, Elena",1
Cremona,Lombardia,"Anguissola, Europa",1
Cremona,Lombardia,"Anguissola, Lucia",1
Cremona,Lombardia,"Anguissola , Sofonisba",1
Cremona,Lombardia,"Caffi, Margherita",1
Cremona,Lombardia,"Anguissola, Amilcare",1
Firenze,Toscana,"Doni, Antonia",3
Firenze,Toscana,"Nelli, Plautilla",3
Firenze,Toscana,"Quistelli, Lucrezia",3
Firenze,Toscana,"Dolci, Agnese",3
Firenze,Toscana,"Fratellini, Giovanna",3
Firenze,Toscana,"Uccello, Paolo",3
Lucca,Toscana,"Burlamacchi, Eufrasia",14
Mantova,Lombardia,"Scultori Ghisi, Diana",12
Messina,Sicilia,"Arduino, Anna Maria",2
Milano,Lombardia,"Galizia, Fede",6
Moncalvo,Piemonte,"Caccia, Orsola",16
Moncalvo,Piemonte,"Dal Pozzo, Isabella Maria",16
Napoli,Campania,"Criscuolo, Mariangiola",9
Napoli,Campania,"Di Massimo, Annella",9
Padova,Veneto,"Varotari, Chiara",5
Palermo,Sicilia,"Novelli, Rosalia",8
Parma ,Emilia Romagna ,"Fontana, Veronica",19
Pistoia,Toscana,"Paladini, Arcangela",21
Ravenna,Emilia Romagna,"Longhi, Barbara",15
Roma,Lazio,"Bernasconi, Laura",10
Roma,Lazio,"Bricci, Plautilla",10
Roma,Lazio,"Corvina, Maddalena",10
Roma,Lazio,"Del Po, Teresa",10
Roma,Lazio,"Fetti, Lucrina",10
Roma,Lazio,"Gentileschi, Artemisia",10
Roma,Lazio,"Ginnasi, Caterina",10
Roma,Lazio,"Maratti, Faustina",10
Roma,Lazio,"Vaiana, Anna Maria",10
Roma,Lazio,"Vezzi, Virginia ",10
Spilimbergo,Friuli Venezia Giulia,"Di Spilimbergo, Irene",17
Venezia,Veneto,"Robusti, Marietta",4
Venezia,Veneto,"Carriera, Rosalba",4
Venezia,Veneto,"Robusti, Jacopo",4
Verona,Veneto,"Brusasorzi, Cecilia",13
